COUNTRY_OF_ASYLUM,RETURN_DATE,ORIG_PROV_NAME,ORIG_DIST_NAME,DESTINATION_PROV_NAME,DESTINATION_DIST_NAME,INDIVIDUALS,MALE,FEMALE,
#country,#date+occurred,#admin1+name+x_origin,#admin2+name+x_origin,#admin1+name+x_destination,#admin2+name+x_destination,#affected+displaced+all,#affected+displaced+m,#affected+displaced+f,
Pakistan,06-Mar-18,Sar-e-Pul,Sayad,Sar-e-Pul,Sayad,9,4,5,
Iran,07-Mar-18,Farah,Farah,Farah,Farah,5,2,3,
Iran,07-Mar-18,Ghazni,Nawur,Ghazni,Nawur,1,1,0,
Pakistan,07-Mar-18,Kabul,Shakardara,Kabul,Shakardara,5,2,3,
Pakistan,07-Mar-18,Laghman,Qarghayi,Laghman,Qarghayi,1,1,0,
Pakistan,07-Mar-18,Logar,Azra,Kabul,Shakardara,2,0,2,
Pakistan,07-Mar-18,Logar,Mohammadagha,Logar,Mohammadagha,1,1,0,
Pakistan,07-Mar-18,Nangarhar,Jalalabad,Nangarhar,Jalalabad,5,4,1,
Pakistan,07-Mar-18,Nangarhar,Kama,Nangarhar,Kama,1,1,0,
Pakistan,07-Mar-18,Nangarhar,Khogyani,Nangarhar,Khogyani,9,4,5,
Iran,08-Mar-18,Bamyan,Bamyan,Bamyan,Bamyan,1,0,1,
Iran,08-Mar-18,Daykundi,Nili,Kabul,Kabul,1,1,0,
Iran,08-Mar-18,Faryab,Maymana,Faryab,Maymana,1,1,0,
Pakistan,08-Mar-18,Herat,Karukh,Herat,Karukh,4,1,3,
Pakistan,08-Mar-18,Kabul,Kabul,Takhar,Khwajaghar,8,3,5,
Pakistan,08-Mar-18,Kabul,Khak-e- Jabbar,Nangarhar,Surkhrod,1,1,0,
Pakistan,08-Mar-18,Kabul,Surobi,Nangarhar,Behsud,3,1,2,
Pakistan,08-Mar-18,Kandahar,Maruf,Herat,Herat,23,10,13,
Pakistan,08-Mar-18,Kunar,Dara-e-Pech,Nangarhar,Behsud,4,1,3,
Pakistan,08-Mar-18,Logar,Azra,Nangarhar,Khogyani,1,1,0,
Pakistan,08-Mar-18,Logar,Khoshi,Logar,Khoshi,4,2,2,
Pakistan,08-Mar-18,Nangarhar,Behsud,Nangarhar,Jalalabad,13,5,8,
Pakistan,08-Mar-18,Nangarhar,Hesarak,Nangarhar,Jalalabad,9,4,5,
Pakistan,08-Mar-18,Nangarhar,Kot,Kabul,Kabul,8,3,5,
Pakistan,08-Mar-18,Sar-e-Pul,Sar-e-Pul,Jawzjan,Shiberghan,6,4,2,
Pakistan,08-Mar-18,Sar-e-Pul,Sayad,Sar-e-Pul,Sayad,8,6,2,
Iran,09-Mar-18,Kabul,Kabul,Kabul,Kabul,2,1,1,
Iran,10-Mar-18,Kabul,Kabul,Kabul,Kabul,1,0,1,
Iran,10-Mar-18,Parwan,Koh-e- Safi,Parwan,Koh-e- Safi,5,4,1,
Pakistan,10-Mar-18,Faryab,Khwajasabzposh,Faryab,Khwajasabzposh,1,1,0,
Pakistan,10-Mar-18,Ghazni,Jaghuri,Kabul,Kabul,1,0,1,
Pakistan,10-Mar-18,Jawzjan,Shiberghan,Jawzjan,Shiberghan,10,7,3,
Pakistan,10-Mar-18,Jawzjan,Shiberghan,Kandahar,Spinboldak,24,13,11,
Pakistan,10-Mar-18,Kabul,Dehsabz,Kabul,Dehsabz,4,3,1,
Pakistan,10-Mar-18,Kabul,Kabul,Kabul,Kabul,5,3,2,
Pakistan,10-Mar-18,Kunduz,Khanabad,Kunduz,Khanabad,5,2,3,
Pakistan,10-Mar-18,Logar,Pul-e- Alam,Logar,Pul-e- Alam,1,1,0,
Pakistan,10-Mar-18,Paktya,Zadran,Kabul,Bagrami,3,1,2,
Pakistan,10-Mar-18,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,Sar-e-Pul,2,1,1,
Iran,11-Mar-18,Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,0,1,
Pakistan,11-Mar-18,Jawzjan,Qushtepa,Herat,Herat,4,3,1,
Pakistan,11-Mar-18,Kandahar,Kandahar,Kandahar,Kandahar,3,3,0,
Pakistan,11-Mar-18,Kandahar,Maywand,Kandahar,Kandahar,11,4,7,
Pakistan,11-Mar-18,Laghman,Qarghayi,Nangarhar,Jalalabad,7,4,3,
Pakistan,11-Mar-18,Nangarhar,Kama,Nangarhar,Kama,5,3,2,
Pakistan,11-Mar-18,Nangarhar,Khogyani,Nangarhar,Behsud,4,1,3,
Pakistan,11-Mar-18,Nangarhar,Kuzkunar,Nangarhar,Jalalabad,3,1,2,
Pakistan,11-Mar-18,Nangarhar,Rodat,Nangarhar,Behsud,3,2,1,
Pakistan,11-Mar-18,Nangarhar,Shinwar,Nangarhar,Jalalabad,1,1,0,
Iran,12-Mar-18,Herat,Herat,Herat,Herat,1,0,1,
Pakistan,12-Mar-18,Kunar,Chapadara,Nangarhar,Chaparhar,3,1,2,
Iran,13-Mar-18,Bamyan,Yakawlang,Bamyan,Panjab,1,0,1,
Iran,13-Mar-18,Bamyan,Yakawlang,Kabul,Kabul,1,0,1,
Iran,13-Mar-18,Ghazni,Jaghuri,Kabul,Kabul,3,0,3,
Iran,13-Mar-18,Ghazni,Qarabagh,Kabul,Kabul,2,2,0,
Iran,13-Mar-18,Ghor,Lal Wa Sarjangal,Ghor,Lal Wa Sarjangal,2,2,0,
Iran,13-Mar-18,Ghor,Lal Wa Sarjangal,Kabul,Kabul,1,0,1,
Iran,13-Mar-18,Herat,Herat,Herat,Herat,2,1,1,
Iran,13-Mar-18,Kabul,Kabul,Ghor,Chaghcharan,1,0,1,
Iran,13-Mar-18,Kabul,Kabul,Kabul,Kabul,6,2,4,
Iran,13-Mar-18,Laghman,Alingar,Laghman,Alingar,1,1,0,
Iran,13-Mar-18,Laghman,Alishang,Laghman,Alishang,1,1,0,
Iran,13-Mar-18,Logar,Pul-e- Alam,Kabul,Kabul,2,0,2,
Iran,13-Mar-18,Samangan,Dara-e- Suf-e- Payin,Samangan,Dara-e- Suf-e- Payin,3,2,1,
Iran,13-Mar-18,Uruzgan,Khasuruzgan,Kabul,Kabul,1,0,1,
Pakistan,13-Mar-18,Baghlan,Burka,Baghlan,Burka,3,1,2,
Pakistan,13-Mar-18,Baghlan,Nahrin,Baghlan,Nahrin,1,1,0,
Pakistan,13-Mar-18,Jawzjan,Aqcha,Jawzjan,Aqcha,1,0,1,
Pakistan,13-Mar-18,Kabul,Bagrami,Kabul,Bagrami,7,4,3,
Pakistan,13-Mar-18,Kandahar,Kandahar,Kandahar,Kandahar,8,3,5,
Pakistan,13-Mar-18,Laghman,Mehtarlam,Laghman,Mehtarlam,1,1,0,
Pakistan,13-Mar-18,Logar,Mohammadagha,Logar,Mohammadagha,4,4,0,
Pakistan,13-Mar-18,Nangarhar,Rodat,Nangarhar,Rodat,3,1,2,
Pakistan,13-Mar-18,Paktya,Gardez,Kabul,Bagrami,1,1,0,
Pakistan,13-Mar-18,Paktya,Zurmat,Paktya,Zurmat,4,4,0,
Pakistan,13-Mar-18,Sar-e-Pul,Sayad,Sar-e-Pul,Sayad,8,6,2,
Iran,14-Mar-18,Baghlan,Baghlan-e-Jadid,Baghlan,Baghlan-e-Jadid,1,0,1,
Iran,14-Mar-18,Balkh,Mazar-e-Sharif,Kabul,Kabul,2,0,2,
Iran,14-Mar-18,Bamyan,Yakawlang,Bamyan,Yakawlang,1,1,0,
Iran,14-Mar-18,Farah,Farah,Farah,Farah,1,0,1,
Iran,14-Mar-18,Ghazni,Malestan,Ghazni,Malestan,1,1,0,
Iran,14-Mar-18,Herat,Herat,Herat,Herat,1,0,1,
Pakistan,14-Mar-18,Baghlan,Doshi,Baghlan,Doshi,9,7,2,
Pakistan,14-Mar-18,Baghlan,Pul-e- khumri,Baghlan,Pul-e- khumri,9,3,6,
Pakistan,14-Mar-18,Ghazni,Nawa,Kunduz,Kunduz,1,1,0,
Pakistan,14-Mar-18,Hilmand,Lashkargah,Hilmand,Lashkargah,8,5,3,
Pakistan,14-Mar-18,Jawzjan,Qushtepa,Kunduz,Kunduz,2,1,1,
Pakistan,14-Mar-18,Kandahar,Arghestan,Herat,Obe,12,7,5,
Pakistan,14-Mar-18,Kandahar,Ghorak,Kandahar,Ghorak,4,3,1,
Pakistan,14-Mar-18,Kandahar,Maruf,Kandahar,Maruf,3,1,2,
Pakistan,14-Mar-18,Kandahar,Panjwayi,Kandahar,Panjwayi,10,7,3,
Pakistan,14-Mar-18,Kandahar,Panjwayi,Kunduz,Kunduz,4,1,3,
Pakistan,14-Mar-18,Kunar,Nari,Nangarhar,Jalalabad,1,1,0,
Pakistan,14-Mar-18,Kunduz,Dasht-e-Archi,Kunduz,Dasht-e-Archi,4,3,1,
Pakistan,14-Mar-18,Kunduz,Khanabad,Baghlan,Doshi,3,2,1,
Pakistan,14-Mar-18,Kunduz,Khanabad,Kunduz,Khanabad,1,0,1,
Pakistan,14-Mar-18,Kunduz,Kunduz,Kunduz,Kunduz,1,0,1,
Pakistan,14-Mar-18,Logar,Barakibarak,Logar,Barakibarak,8,4,4,
Pakistan,14-Mar-18,Logar,Khoshi,Logar,Khoshi,3,1,2,
Pakistan,14-Mar-18,Logar,Pul-e- Alam,Logar,Pul-e- Alam,3,2,1,
Pakistan,14-Mar-18,Nangarhar,Kama,Nangarhar,Kama,7,4,3,
Pakistan,14-Mar-18,Nangarhar,Muhmand Dara,Baghlan,Doshi,1,0,1,
Pakistan,14-Mar-18,Paktya,Gardez,Paktya,Gardez,4,2,2,
Pakistan,14-Mar-18,Parwan,Koh-e- Safi,Parwan,Koh-e- Safi,3,1,2,
Pakistan,15-Mar-18,Baghlan,Pul-e-Hesar,Kabul,Chaharasyab,1,1,0,
Pakistan,15-Mar-18,Jawzjan,Shiberghan,Jawzjan,Shiberghan,11,6,5,
Pakistan,15-Mar-18,Kandahar,Kandahar,Kandahar,Kandahar,3,0,3,
Pakistan,15-Mar-18,Kandahar,Panjwayi,Hilmand,Nahr-e-Saraj,4,2,2,
Pakistan,15-Mar-18,Kandahar,Spinboldak,Hilmand,Nahr-e-Saraj,1,1,0,
Pakistan,15-Mar-18,Nangarhar,Batikot,Nangarhar,Batikot,6,3,3,
Pakistan,15-Mar-18,Nangarhar,Chaparhar,Laghman,Qarghayi,7,4,3,
Pakistan,15-Mar-18,Nangarhar,Hesarak,Nangarhar,Khogyani,1,1,0,
Pakistan,15-Mar-18,Nangarhar,Jalalabad,Nangarhar,Jalalabad,5,4,1,
Pakistan,15-Mar-18,Paktya,Zurmat,Paktya,Zurmat,7,3,4,
Pakistan,15-Mar-18,Takhar,Dasht-e- Qala,Takhar,Dasht-e- Qala,1,1,0,
